Epoch,WebQuestions,CornellMovieDialog,DatasetForChatbot,Alpaca
1,5.6434,6.0631,6.0498,7.814
2,4.7326,5.4968,5.1339,7.1187
3,4.5713,5.304,4.8767,7.0939
4,4.5038,5.2306,4.7726,7.0782
5,4.4482,5.1664,4.705,7.0577
6,4.3818,5.099,4.6413,7.0127
7,4.3021,5.0309,4.5833,6.8953
8,4.2252,4.9735,4.53,6.7967
9,4.1511,4.9264,4.4816,6.7179
10,4.0735,4.8857,4.4359,6.6502
11,3.9854,4.8468,4.3916,6.5858
12,3.9066,4.8141,4.3469,6.5146
13,3.8287,4.7816,4.3009,6.4313
14,3.7549,4.7538,4.2565,6.3537
15,3.6838,4.7252,4.2147,6.2714
16,3.6159,4.7004,4.1762,6.1824
17,3.5533,4.6765,4.1382,6.079
18,3.4902,4.6527,4.1032,5.987
19,3.4326,4.6316,4.0695,5.9119
20,3.3761,4.6118,4.0367,5.8439
21,3.3185,4.5944,4.0041,5.7752
22,3.2694,4.5749,3.9778,5.7115
23,3.2204,4.558,3.9487,5.6504
24,3.1747,4.5414,3.9213,5.5944
25,3.1262,4.5258,3.8915,5.5358
26,3.0819,4.5115,3.8664,5.4826
27,3.0407,4.4964,3.8418,5.433
28,2.9938,4.4829,3.8153,5.3832
29,2.9535,4.4676,3.7892,5.3354
30,2.9178,4.4548,3.769,5.2855
31,2.8743,4.4428,3.7431,5.2423
32,2.8361,4.4314,3.7199,5.2007
33,2.7984,4.4187,3.6973,5.153
34,2.7639,4.4083,3.6749,5.1096
35,2.7243,4.3959,3.6508,5.0698
36,2.69,4.3836,3.6295,5.0254
37,2.6549,4.3718,3.6071,4.983
38,2.6216,4.3594,3.5848,4.9397
39,2.5861,4.3483,3.5626,4.9021
40,2.5562,4.3352,3.5421,4.8601
41,2.5215,4.3258,3.5196,4.8214
42,2.4898,4.3143,3.4989,4.7804
43,2.4609,4.3017,3.478,4.7432
44,2.428,4.29,3.4579,4.709
45,2.3971,4.2774,3.4363,4.6684
46,2.3637,4.2675,3.4141,4.6305
47,2.3357,4.2538,3.3946,4.6018
48,2.3051,4.2417,3.3736,4.5619
49,2.2766,4.231,3.3531,4.5227
50,2.2476,4.2194,3.3337,4.4931
51,2.2187,4.2082,3.3114,4.4595
52,2.1885,4.196,3.2923,4.4257
53,2.1643,4.1851,3.2705,4.3938
54,2.1376,4.1724,3.2518,4.36
55,2.1105,4.1599,3.23,4.3283
56,2.0851,4.1493,3.2116,4.3007
57,2.0599,4.136,3.1923,4.2682
58,2.0323,4.1254,3.1718,4.2373
59,2.0082,4.1138,3.1504,4.2105
60,1.9818,4.0987,3.1311,4.1836
61,1.9565,4.0886,3.112,4.1453
62,1.9343,4.0752,3.0907,4.1183
63,1.9084,4.0641,3.0705,4.0887
64,1.8841,4.0524,3.0512,4.0624
65,1.8603,4.038,3.032,4.0352
66,1.8386,4.0262,3.011,4.0069
67,1.8135,4.0132,2.9934,3.9822
68,1.792,4.001,2.9735,3.9535
69,1.7697,3.9888,2.9533,3.9311
70,1.7476,3.9745,2.9339,3.9043
71,1.7231,3.9621,2.9126,3.8762
72,1.7024,3.9485,2.8947,3.8485
73,1.6818,3.9344,2.8757,3.8262
74,1.6582,3.9198,2.8548,3.8025
75,1.6399,3.905,2.8352,3.7771
76,1.6179,3.8921,2.8172,3.7543
77,1.5988,3.8795,2.7974,3.7342
78,1.5782,3.8636,2.777,3.7109
79,1.5604,3.8482,2.7599,3.6867
80,1.5403,3.8347,2.7393,3.6613
81,1.52,3.8187,2.7197,3.6399
82,1.5019,3.8028,2.701,3.618
83,1.4857,3.7857,2.6814,3.5908
84,1.4656,3.7707,2.6625,3.5715
85,1.4494,3.7545,2.6434,3.5503
86,1.4321,3.739,2.6227,3.526
87,1.4151,3.7222,2.6068,3.5009
88,1.3947,3.7052,2.5873,3.4794
89,1.3808,3.6886,2.5689,3.4628
90,1.3652,3.6731,2.5502,3.4415
91,1.3487,3.6564,2.5296,3.4205
92,1.332,3.6415,2.5137,3.4
93,1.3174,3.6219,2.4949,3.3785
94,1.3033,3.6058,2.473,3.3546
95,1.2859,3.5902,2.4567,3.3368
96,1.2722,3.5714,2.4394,3.321
97,1.2577,3.5557,2.421,3.2958
98,1.2431,3.5388,2.4029,3.2821
99,1.2301,3.5229,2.3844,3.2585
100,1.2159,3.5061,2.3665,3.2366
101,1.2022,3.4893,2.347,3.227
102,1.188,3.4721,2.33,3.2079
103,1.1747,3.4546,2.3116,3.1829
104,1.1619,3.4397,2.2925,3.1665
105,1.1498,3.4234,2.2751,3.153
106,1.1366,3.4054,2.2563,3.1297
107,1.1251,3.3885,2.2364,3.1149
108,1.1133,3.3726,2.2203,3.0932
109,1.0996,3.3557,2.2006,3.0797
110,1.0896,3.3388,2.1823,3.0669
111,1.0762,3.3231,2.1653,3.0517
112,1.0662,3.3064,2.1478,3.028
113,1.0552,3.2901,2.129,3.0127
114,1.0457,3.2707,2.1103,2.9984
115,1.0349,3.2553,2.0926,2.9813
116,1.0236,3.2384,2.0747,2.9643
117,1.0122,3.2207,2.0546,2.9487
118,1.0028,3.2018,2.0384,2.9284
119,0.9941,3.1855,2.0222,2.9143
120,0.9857,3.169,2.0017,2.9009
121,0.9743,3.1516,1.9841,2.8814
122,0.967,3.1343,1.966,2.8677
123,0.9562,3.1163,1.95,2.8484
124,0.9485,3.1002,1.9305,2.84
125,0.9382,3.0831,1.9128,2.8238
126,0.9314,3.0641,1.8951,2.8062
127,0.9225,3.0454,1.8758,2.7959
128,0.914,3.0276,1.8577,2.7781
129,0.9047,3.0106,1.8386,2.761
130,0.9002,2.9918,1.8217,2.7469
131,0.8902,2.9746,1.8034,2.7324
132,0.8821,2.9574,1.7857,2.7194
133,0.8763,2.9377,1.7664,2.7015
134,0.8686,2.9197,1.7491,2.6912
135,0.8643,2.9013,1.731,2.6709
136,0.856,2.8819,1.712,2.6658
137,0.8494,2.8637,1.6939,2.6461
138,0.8423,2.8466,1.6747,2.6406
139,0.836,2.827,1.6579,2.6203
140,0.8298,2.807,1.6385,2.6077
141,0.8246,2.7881,1.6215,2.5939
142,0.8171,2.7682,1.602,2.584
143,0.8118,2.7482,1.5833,2.5722
144,0.8066,2.7305,1.566,2.5556
145,0.7994,2.7111,1.5485,2.5368
146,0.7933,2.6911,1.5315,2.5206
147,0.7886,2.6715,1.5119,2.5104
148,0.7835,2.6515,1.4936,2.4962
149,0.7768,2.6318,1.4756,2.4852
150,0.772,2.6106,1.4575,2.4721
151,0.7683,2.5926,1.4409,2.4553
152,0.7626,2.5719,1.4226,2.4469
153,0.7596,2.5512,1.4042,2.4293
154,0.7535,2.531,1.3873,2.426
155,0.7493,2.5139,1.369,2.4068
156,0.7431,2.4912,1.3535,2.3929
157,0.7408,2.4734,1.3361,2.3808
158,0.7361,2.4528,1.319,2.3696
159,0.7327,2.4334,1.3005,2.3598
160,0.728,2.4117,1.2846,2.3459
161,0.7241,2.3925,1.2661,2.3339
162,0.72,2.3744,1.2491,2.3186
163,0.7163,2.3518,1.2331,2.3074
164,0.713,2.333,1.2179,2.2992
165,0.7089,2.3119,1.1973,2.2819
166,0.705,2.292,1.1829,2.2725
167,0.7007,2.2728,1.1658,2.2586
168,0.697,2.2521,1.1493,2.247
169,0.6948,2.2311,1.1342,2.2333
170,0.6915,2.2136,1.116,2.2193
171,0.6873,2.1947,1.1016,2.2136
172,0.6843,2.1722,1.0834,2.2031
173,0.6819,2.1517,1.0695,2.186
174,0.6774,2.1333,1.0516,2.1726
175,0.6758,2.1145,1.0343,2.1623
176,0.6715,2.0956,1.0203,2.1497
177,0.6691,2.0748,1.0037,2.1394
178,0.6652,2.0559,0.9895,2.1256
179,0.6635,2.0391,0.9722,2.1129
180,0.6601,2.0186,0.9573,2.1056
181,0.6581,1.9997,0.9409,2.0912
182,0.6569,1.9797,0.9263,2.0786
183,0.6533,1.9618,0.9111,2.066
184,0.6507,1.9427,0.896,2.0574
185,0.6489,1.923,0.8825,2.044
186,0.6446,1.9052,0.8667,2.0305
187,0.6434,1.8879,0.8516,2.021
188,0.6396,1.8688,0.8372,2.0131
189,0.6381,1.851,0.8226,1.9979
190,0.6357,1.8321,0.8078,1.9847
191,0.6337,1.8132,0.795,1.9715
192,0.6311,1.7971,0.7795,1.9625
193,0.6299,1.7778,0.767,1.9505
194,0.6277,1.7594,0.7525,1.9387
195,0.6255,1.7427,0.7409,1.9277
196,0.6243,1.7256,0.7263,1.9182
197,0.6214,1.7092,0.7128,1.9066
198,0.6203,1.6909,0.7,1.8941
199,0.6171,1.6759,0.6872,1.882
200,0.6156,1.6574,0.6751,1.8676
201,0.6148,1.6419,0.6621,1.8585
202,0.6121,1.6253,0.6504,1.8517
203,0.6107,1.6096,0.6376,1.8359
204,0.6086,1.5931,0.6266,1.8274
205,0.6074,1.5761,0.6151,1.819
206,0.6064,1.5596,0.6021,1.8083
207,0.6044,1.5438,0.5913,1.7924
208,0.6025,1.5293,0.579,1.7823
209,0.6002,1.5134,0.5679,1.7719
210,0.5995,1.4984,0.5572,1.762
211,0.5973,1.484,0.5488,1.7475
212,0.5969,1.4689,0.535,1.7396
213,0.5944,1.4532,0.5256,1.7315
214,0.5931,1.4382,0.5165,1.7224
215,0.591,1.424,0.5046,1.7084
216,0.5894,1.4105,0.4968,1.6997
217,0.5882,1.3952,0.4872,1.6869
218,0.5862,1.3822,0.4755,1.679
219,0.5857,1.3666,0.4669,1.6682
220,0.5842,1.3555,0.4575,1.6585
221,0.5836,1.34,0.4472,1.6459
222,0.5813,1.3262,0.4395,1.64
223,0.5812,1.3138,0.4306,1.6282
224,0.5782,1.3011,0.4239,1.6166
225,0.5782,1.2894,0.4151,1.6131
226,0.5767,1.2752,0.4062,1.5981
227,0.5763,1.2619,0.3973,1.5907
228,0.5747,1.2502,0.3916,1.5848
229,0.5733,1.2394,0.3828,1.573
230,0.572,1.2243,0.3741,1.5614
231,0.5707,1.2127,0.367,1.5522
232,0.5685,1.2026,0.3592,1.5414
233,0.568,1.1884,0.3516,1.5278
234,0.5675,1.1793,0.3451,1.5233
235,0.5667,1.1655,0.3397,1.5128
236,0.5667,1.154,0.3325,1.5039
237,0.5648,1.144,0.3271,1.496
238,0.5648,1.133,0.3191,1.4838
239,0.5632,1.1223,0.3139,1.4816
240,0.5624,1.1122,0.3072,1.4671
241,0.5602,1.1005,0.2991,1.4583
242,0.5616,1.0906,0.2939,1.4494
243,0.5596,1.0816,0.2902,1.4383
244,0.5583,1.0699,0.2842,1.4306
245,0.5581,1.0604,0.2776,1.4221
246,0.5566,1.0494,0.2727,1.4125
247,0.5559,1.0398,0.2665,1.4046
248,0.5556,1.029,0.2618,1.3995
249,0.555,1.0186,0.2567,1.3892
250,0.5551,1.0103,0.2521,1.3796
251,0.5538,0.9997,0.2467,1.3713
252,0.5532,0.9904,0.2422,1.3617
253,0.5519,0.9802,0.238,1.3563
254,0.5517,0.9708,0.2351,1.3447
255,0.5507,0.9624,0.2287,1.3398
256,0.5502,0.9535,0.2258,1.3305
257,0.5482,0.9448,0.2206,1.3205
258,0.5479,0.9358,0.2147,1.3089
259,0.5473,0.9287,0.2124,1.3068
260,0.5466,0.9183,0.2083,1.2966
261,0.5467,0.9106,0.2033,1.2904
262,0.5451,0.9021,0.1997,1.2785
263,0.5452,0.893,0.1969,1.271
264,0.5452,0.8851,0.1929,1.2614
265,0.5437,0.8779,0.1889,1.2541
266,0.5432,0.8705,0.1861,1.25
267,0.5432,0.8602,0.1824,1.2368
268,0.541,0.8526,0.1786,1.2342
269,0.5412,0.8452,0.1765,1.2216
270,0.5408,0.8377,0.1753,1.2154
271,0.5406,0.8281,0.1705,1.2069
272,0.539,0.8237,0.1664,1.2001
273,0.538,0.8169,0.1638,1.1951
274,0.5373,0.8089,0.1608,1.1846
275,0.5378,0.8022,0.1581,1.1775
276,0.5357,0.7933,0.1552,1.1695
277,0.536,0.7873,0.1526,1.1626
278,0.5362,0.7795,0.1503,1.1563
279,0.5358,0.7729,0.1477,1.1462
280,0.536,0.7654,0.145,1.1381
281,0.5342,0.7583,0.1427,1.1332
282,0.5338,0.7524,0.1407,1.1231
283,0.5342,0.7465,0.1378,1.1165
284,0.5326,0.7395,0.1363,1.1076
285,0.532,0.7314,0.1331,1.1014
286,0.5313,0.7264,0.1308,1.0951
287,0.5295,0.7188,0.1291,1.0878
288,0.531,0.7158,0.127,1.0821
289,0.5293,0.708,0.1248,1.0734
290,0.5284,0.7024,0.1236,1.0673
291,0.5284,0.6963,0.1213,1.0584
292,0.5284,0.6905,0.1196,1.0532
293,0.5273,0.6829,0.1183,1.0455
294,0.5274,0.6784,0.1171,1.0384
295,0.5268,0.6699,0.1149,1.0341
296,0.5262,0.6664,0.1125,1.0225
297,0.5276,0.6604,0.1099,1.0175
298,0.5269,0.6535,0.1092,1.0109
299,0.5268,0.6488,0.1076,1.0036
300,0.5247,0.6426,0.1069,0.9932
301,,0.6381,0.1047,0.9884
302,,0.6328,0.103,0.9855
303,,0.629,0.1015,0.9746
304,,0.6228,0.1006,0.9721
305,,0.6159,0.0987,0.9597
306,,0.6113,0.0974,0.9556
307,,0.6062,0.0964,0.9495
308,,0.6003,0.0943,0.9462
309,,0.5961,0.0935,0.9368
310,,0.5918,0.0921,0.9294
311,,0.5855,0.0913,0.9262
312,,0.5814,0.0903,0.9181
313,,0.5752,0.0887,0.9112
314,,0.5708,0.0878,0.9037
315,,0.5682,0.0863,0.9001
316,,0.563,0.0848,0.8946
317,,0.5582,0.0847,0.8847
318,,0.554,0.0831,0.8815
319,,0.5483,0.0827,0.8739
320,,0.5452,0.0817,0.868
321,,0.5407,0.0799,0.8633
322,,0.5364,0.0804,0.8595
323,,0.5308,0.0805,0.8516
324,,0.5274,0.0782,0.8444
325,,0.5223,0.0771,0.841
326,,0.5192,0.0766,0.8333
327,,0.5144,0.0754,0.8286
328,,0.5098,0.0743,0.8234
329,,0.5076,0.0737,0.8163
330,,0.5026,0.0724,0.808
331,,0.4992,0.0721,0.8065
332,,0.4936,0.0711,0.7991
333,,0.491,0.0712,0.7946
334,,0.4869,0.07,0.7906
335,,0.4836,0.0689,0.7814
336,,0.48,0.0683,0.7779
337,,0.4772,0.0671,0.7701
338,,0.4728,0.0668,0.7654
339,,0.4678,0.0662,0.7594
340,,0.4644,0.0655,0.7545
341,,0.4613,0.0648,0.7528
342,,0.4554,0.0644,0.7444
343,,0.4544,0.0643,0.7412
344,,0.4505,0.0631,0.7368
345,,0.4475,0.0624,0.7293
346,,0.4429,0.062,0.7227
347,,0.4408,0.0619,0.7194
348,,0.4355,0.0614,0.7157
349,,0.4327,0.0613,0.7098
350,,0.4297,0.0606,0.7025
351,,0.4259,0.0595,0.7008
352,,0.4219,0.059,0.6962
353,,0.4207,0.0582,0.6907
354,,0.4161,0.0583,0.684
355,,0.4142,0.0575,0.6787
356,,0.4104,0.0572,0.6757
357,,0.4083,0.0566,0.6707
358,,0.4032,0.0557,0.665
359,,0.4014,0.0557,0.6611
360,,0.3984,0.0561,0.6559
361,,0.3968,0.0558,0.6545
362,,0.394,0.0549,0.6478
363,,0.39,0.054,0.6426
364,,0.3849,0.0537,0.6389
365,,0.3832,0.0538,0.6334
366,,0.3809,0.0535,0.6315
367,,0.3775,0.0526,0.6244
368,,0.3762,0.052,0.6207
369,,0.3729,0.0517,0.6155
370,,0.3709,0.0527,0.6122
371,,0.3681,0.0517,0.6082
372,,0.3641,0.0514,0.6042
373,,0.3624,0.0512,0.6
374,,0.3605,0.0512,0.5966
375,,0.3574,0.05,0.5911
376,,0.3543,0.0498,0.5885
377,,0.3502,0.0489,0.5839
378,,0.3487,0.0501,0.5778
379,,0.3461,0.0517,0.5745
380,,0.3441,0.0499,0.569
381,,0.3413,0.0499,0.5661
382,,0.3391,0.0487,0.5611
383,,0.3368,0.0482,0.5584
384,,0.3339,0.0479,0.5538
385,,0.3327,0.0473,0.5517
386,,0.3287,0.0473,0.5466
387,,0.3268,0.0466,0.5427
388,,0.3254,0.0469,0.5376
389,,0.323,0.0462,0.5357
390,,0.3208,0.0458,0.5314
391,,0.3191,0.0456,0.5279
392,,0.3158,0.0454,0.5244
393,,0.3128,0.0454,0.5214
394,,0.3114,0.0448,0.5168
395,,0.3092,0.0447,0.5132
396,,0.3068,0.0448,0.5103
397,,0.3057,0.0445,0.5059
398,,0.3036,0.044,0.5028
399,,0.3024,0.0448,0.4982
400,,0.2992,0.0441,0.4959
401,,0.2986,0.0437,0.4913
402,,0.2963,0.0431,0.4872
403,,0.2934,0.0429,0.4855
404,,0.2912,0.0428,0.4824
405,,0.2891,0.0424,0.4779
406,,0.2869,0.0429,0.4745
407,,0.2839,0.0428,0.4726
408,,0.2834,0.0422,0.468
409,,0.2797,0.0432,0.4636
410,,0.2788,0.0429,0.4619
411,,0.2773,0.0427,0.4587
412,,0.2749,0.0413,0.4553
413,,0.2721,0.0414,0.4525
414,,0.2716,0.0414,0.448
415,,0.2698,0.041,0.4476
416,,0.2682,0.0411,0.4425
417,,0.2657,0.0414,0.4411
418,,0.2647,0.0416,0.4368
419,,0.2629,0.0406,0.4333
420,,0.2604,0.0406,0.4303
421,,0.2598,0.0399,0.4262
422,,0.2572,0.0397,0.4232
423,,0.2562,0.0395,0.421
424,,0.2541,0.0395,0.4196
425,,0.252,0.0388,0.4137
426,,0.2517,0.0391,0.4124
427,,0.2492,0.0392,0.4092
428,,0.2468,0.0388,0.4053
429,,0.2458,0.0385,0.4014
430,,0.2449,0.0386,0.3994
431,,0.244,0.0386,0.3973
432,,0.2411,0.0389,0.3941
433,,0.2384,0.0387,0.3917
434,,0.2377,0.0382,0.3886
435,,0.2372,0.0377,0.3861
436,,0.2352,0.0377,0.384
437,,0.2336,0.038,0.3814
438,,0.2328,0.0382,0.3785
439,,0.2305,0.038,0.3773
440,,0.2297,0.0385,0.3721
441,,0.2274,0.0383,0.3704
442,,0.2261,0.0381,0.3672
443,,0.2257,0.0375,0.3635
444,,0.2235,0.0367,0.3629
445,,0.2216,0.0366,0.3605
446,,0.221,0.0366,0.3583
447,,0.2189,0.0365,0.354
448,,0.2178,0.0365,0.3515
449,,0.2172,0.0366,0.3502
450,,0.2158,0.0363,0.3454
451,,0.2144,0.0362,0.3462
452,,0.2127,0.0362,0.3429
453,,0.2118,0.0359,0.3383
454,,0.2113,0.0357,0.3379
455,,0.211,0.0356,0.335
456,,0.2083,0.0356,0.3331
457,,0.2065,0.0356,0.3307
458,,0.2051,0.0354,0.3265
459,,0.204,0.0353,0.3252
460,,0.2026,0.0353,0.3225
461,,0.2006,0.0348,0.3189
462,,0.2003,0.0346,0.3172
463,,0.1985,0.0346,0.316
464,,0.1966,0.0349,0.3145
465,,0.1966,0.0347,0.311
466,,0.1958,0.0346,0.3103
467,,0.1947,0.0347,0.3064
468,,0.1931,0.0347,0.3046
469,,0.1931,0.0347,0.3016
470,,0.1909,0.0341,0.3011
471,,0.1907,0.0343,0.2989
472,,0.1883,0.0342,0.2952
473,,0.1875,0.034,0.2937
474,,0.1873,0.0346,0.2905
475,,0.1847,0.0347,0.2899
476,,0.1833,0.0346,0.2879
477,,0.1823,0.0343,0.2847
478,,0.1813,0.0338,0.2828
479,,0.1804,0.0339,0.281
480,,0.1794,0.0335,0.2788
481,,0.1795,0.0338,0.2772
482,,0.1783,0.0335,0.2753
483,,0.1771,0.033,0.2726
484,,0.1758,0.0332,0.2698
485,,0.1748,0.0331,0.2682
486,,0.173,0.0332,0.2671
487,,0.1742,0.0331,0.2649
488,,0.1723,0.0329,0.2621
489,,0.1702,0.0327,0.2611
490,,0.1701,0.0336,0.2579
491,,0.1683,0.0341,0.2563
492,,0.1676,0.0335,0.2551
493,,0.1679,0.0336,0.2526
494,,0.1668,0.0341,0.2498
495,,0.1665,0.0335,0.248
496,,0.1645,0.0329,0.248
497,,0.1642,0.0331,0.2458
498,,0.1628,0.0344,0.2432
499,,0.1623,0.0328,0.2408
500,,0.1619,0.0323,0.2396
501,,0.161,0.0324,0.2386
502,,0.1592,0.032,0.2357
503,,0.1589,0.0319,0.2341
504,,0.1584,0.0317,0.233
505,,0.1574,0.0321,0.2324
506,,0.1554,0.0319,0.2309
507,,0.1549,0.0318,0.2266
508,,0.1538,0.0318,0.2253
509,,0.1519,0.0315,0.2241
510,,0.1521,0.0315,0.2229
511,,0.1521,0.0312,0.2208
512,,0.1518,0.0316,0.2189
513,,0.1506,0.0311,0.2181
514,,0.1503,0.0315,0.2157
515,,0.1508,0.0323,0.2153
516,,0.1476,0.0343,0.2127
517,,0.1479,0.0339,0.2116
518,,0.1476,0.0336,0.2099
519,,0.1464,0.0345,0.2075
520,,0.1454,0.0355,0.2057
521,,0.1444,0.034,0.2041
522,,0.1436,0.0345,0.2034
523,,0.1431,0.0325,0.203
524,,0.1403,0.0318,0.2023
525,,0.1411,0.0317,0.1985
526,,0.1402,0.0313,0.1978
527,,0.1406,0.0309,0.1948
528,,0.1388,0.0308,0.1941
529,,0.1384,0.0308,0.1935
530,,0.1378,0.0304,0.1914
531,,0.138,0.0305,0.1901
532,,0.1366,0.0305,0.1882
533,,0.1356,0.0303,0.1871
534,,0.1356,0.0303,0.1866
535,,0.1354,0.0302,0.1851
536,,0.1332,0.0303,0.1829
537,,0.1343,0.0303,0.1823
538,,0.1332,0.0301,0.18
539,,0.1313,0.0302,0.179
540,,0.1311,0.03,0.1784
541,,0.1314,0.0299,0.1759
542,,0.1311,0.0298,0.1753
543,,0.1316,0.0299,0.1731
544,,0.1296,0.0298,0.1722
545,,0.1292,0.0296,0.1714
546,,0.1286,0.0297,0.1703
547,,0.1269,0.0297,0.1684
548,,0.1266,0.0297,0.1673
549,,0.1252,0.0295,0.1666
550,,0.1262,0.0296,0.1647
551,,0.1265,0.0296,0.163
552,,0.1258,0.0295,0.163
553,,0.1238,0.0296,0.1609
554,,0.1236,0.0291,0.1604
555,,0.123,0.0293,0.1589
556,,0.1242,0.0293,0.1576
557,,0.1229,0.0291,0.1567
558,,0.123,0.0291,0.1556
559,,0.1212,0.0296,0.1539
560,,0.1214,0.0312,0.1536
561,,0.1196,0.0305,0.1516
562,,0.1183,0.0302,0.1517
563,,0.118,0.0302,0.1493
564,,0.1175,0.0296,0.1479
565,,0.1169,0.0291,0.1477
566,,0.1191,0.0292,0.1462
567,,0.1169,0.029,0.1451
568,,0.1165,0.029,0.1445
569,,0.1156,0.0289,0.1433
570,,0.1147,0.029,0.1422
571,,0.1149,0.0289,0.1407
572,,0.1142,0.0287,0.1396
573,,0.1132,0.0288,0.1386
574,,0.1132,0.0285,0.1383
575,,0.1127,0.0288,0.1367
576,,0.1122,0.0287,0.135
577,,0.1121,0.0287,0.1353
578,,0.1116,0.0298,0.1344
579,,0.1105,0.0293,0.1326
580,,0.1125,0.0326,0.1319
581,,0.1103,0.0356,0.1306
582,,0.1093,0.0339,0.1298
583,,0.1094,0.0304,0.1297
584,,0.1094,0.0306,0.1284
585,,0.1099,0.03,0.1268
586,,0.108,0.0291,0.1264
587,,0.1069,0.0287,0.1252
588,,0.1074,0.0285,0.124
589,,0.1078,0.0283,0.1234
590,,0.1073,0.0282,0.1221
591,,0.1072,0.0284,0.1216
592,,0.106,0.0283,0.1213
593,,0.106,0.0281,0.1198
594,,0.1052,0.028,0.12
595,,0.1056,0.0281,0.1192
596,,0.1043,0.028,0.1184
597,,0.1021,0.0277,0.1172
598,,0.1018,0.0279,0.1156
599,,0.1018,0.028,0.1149
600,,0.1011,0.0279,0.1149
